matrix_id,n_obs,identity_functional
0,20,110.3183851968146
1,20,130.7169663934408
2,20,115.23203389508427
3,20,111.3475789753206
4,20,118.28280732201857
5,20,110.91630452648872
6,20,113.43475079565279
7,20,109.64229329315116
8,20,109.75375381628618
9,20,116.9926814675623
10,20,131.00803614050764
11,20,113.48600391558178
12,20,110.42503910463125
13,20,115.27290354585956
14,20,124.64803239447198
15,20,116.122761677688
16,20,122.1852248129226
17,20,114.40896182999805
18,20,114.17820825017036
19,20,111.56862094373335
20,20,109.75955668596939
21,20,134.19342973665084
22,20,109.28029678813836
23,20,112.3525179096974
24,20,106.73553141680593
25,20,113.14737240847946
26,20,113.3758419246329
27,20,117.26906305303535
28,20,113.7850372823096
29,20,119.2442034090633
30,20,124.20192167303853
31,20,120.06114688382829
32,20,108.92233394614465
33,20,114.21246094684592
34,20,113.00804810948222
35,20,107.52588535617019
36,20,116.06812033199604
37,20,114.26935810884416
38,20,118.97445351251909
39,20,114.12986850360996
40,20,112.4657700812788
41,20,106.57093764814886
42,20,108.49235675426806
43,20,126.06075151345092
44,20,134.30353530808173
45,20,117.36640483507524
46,20,109.36010417082409
47,20,107.05611998772196
48,20,108.61462349330117
49,20,115.52948177156695
50,20,110.77771775078926
51,20,120.30780879159758
52,20,104.56502309226042
53,20,119.61996491127745
54,20,109.01302526470135
55,20,102.30150953977221
56,20,105.4064160558162
57,20,117.86147057294242
58,20,120.94394528065125
59,20,111.08085898119664
60,20,117.55246862289631
61,20,126.79957403306175
62,20,115.13478301364148
63,20,119.8350974278481
64,20,125.62827285156888
65,20,121.83758442904431
66,20,111.18618735064194
67,20,119.23312629415742
68,20,111.69306350633563
69,20,106.75784510362077
70,20,108.28862487828285
71,20,120.6560982058138
72,20,118.01612944902968
73,20,112.93828189010057
74,20,110.20962589045303
75,20,107.64649221040357
76,20,117.55164342490872
77,20,116.15484961530767
78,20,115.1771375579957
79,20,115.96329181190207
80,20,120.31661045022284
81,20,119.5470965064599
82,20,118.0904581896717
83,20,101.59129949389981
84,20,120.84871088584043
85,20,111.25442488005136
86,20,108.0738679187583
87,20,108.01313893034657
88,20,114.93666624015958
89,20,113.92877273731301
90,20,125.71165169182797
91,20,126.3547860877417
92,20,105.14192058042994
93,20,133.85691952143694
94,20,114.41100144046001
95,20,110.70496589267012
96,20,117.89930480784955
97,20,107.71098878444099
98,20,111.95059574090784
99,20,114.20679242442802
100,20,119.59333610020376
101,20,114.96422824218547
102,20,110.2558315505145
103,20,128.4028014167293
104,20,106.78517159901577
105,20,115.42197294243721
106,20,107.19120991187526
107,20,114.83725230343029
108,20,103.48134912995926
109,20,112.55369250037178
110,20,111.19007268170353
111,20,106.6803430530454
112,20,107.55993563728148
113,20,113.39700073622048
114,20,117.9035721638515
115,20,121.67938100729427
116,20,104.38232093839416
117,20,111.38426765060916
118,20,118.45435390959004
119,20,110.15773778374712
120,20,117.837971315147
121,20,115.12216990268283
122,20,122.78058175933542
123,20,109.09089719131991
124,20,112.43373054016769
125,20,114.13462651309752
126,20,107.35594928810713
127,20,122.89475384727993
128,20,113.88125579697801
129,20,112.63315433554294
130,20,106.97849440211955
131,20,121.9160621613787
132,20,110.28801170047615
133,20,114.96419064359443
134,20,116.11123373506643
135,20,112.72021030948586
136,20,113.32358790423322
137,20,104.20996302309462
138,20,119.19045478372345
139,20,114.60011444716753
140,20,113.05236887309293
141,20,108.24197210895137
142,20,107.16446852684335
143,20,108.12912972746783
144,20,111.91401158500666
145,20,118.1458549318402
146,20,110.48268066602486
147,20,108.53669504541601
148,20,110.89845631965906
149,20,119.58423276460783
150,20,114.06367072002541
151,20,105.67602478845082
152,20,123.06633406717631
153,20,111.8516565798922
154,20,112.84818090168648
155,20,109.51717503536698
156,20,112.96990943359421
157,20,114.86481735784089
158,20,111.09645682290474
159,20,113.96454186562107
160,20,115.4014876049376
161,20,111.35496340572334
162,20,110.1569669859046
163,20,116.83814802660959
164,20,115.84716381477713
165,20,104.05973552251889
166,20,117.89755061419322
167,20,116.94661723002854
168,20,109.9092048472222
169,20,108.00499297732904
170,20,107.2682252145363
171,20,113.13726771352103
172,20,113.57414660839235
173,20,123.675654762572
174,20,120.24187187755847
175,20,111.39266353262627
176,20,119.40398079448428
177,20,112.99517328572517
178,20,115.30069691802365
179,20,109.92635664911512
180,20,114.82647512535146
181,20,120.37881153044873
182,20,117.6207630747883
183,20,116.48596083949798
184,20,115.45749065240705
185,20,116.85997156726687
186,20,112.35109782696873
187,20,111.92321368066105
188,20,104.86852270996025
189,20,113.54079852951335
190,20,109.59903132058483
191,20,114.68168999240845
192,20,112.0884557765229
193,20,112.76318533353566
194,20,107.91648938607776
195,20,112.40691494891206
196,20,120.74566506670641
197,20,120.67245089017229
198,20,112.3784413871141
199,20,116.74410796070819
200,20,115.09439603687565
201,20,116.91329847845859
202,20,113.58916535349668
203,20,116.63709858922121
204,20,108.256265685334
205,20,111.45391467665624
206,20,106.5978188186971
207,20,105.61196873303271
208,20,116.09052821048857
209,20,111.30184537567743
210,20,117.05861105023695
211,20,122.5052294410622
212,20,108.65427352926648
213,20,113.63581905486056
214,20,115.12504215398263
215,20,118.84863578346577
216,20,127.52304082531143
217,20,115.79012858237166
218,20,109.75331822442212
219,20,110.82529522619372
220,20,113.38151124260227
221,20,117.18692554496472
222,20,110.81658059673619
223,20,116.85031837398998
224,20,106.60440055561725
225,20,112.40192399844261
226,20,116.13706563212153
227,20,120.54012437521216
228,20,113.82571990737823
229,20,111.54761461176771
230,20,110.97195566088938
231,20,106.83840329679981
232,20,123.35992987717135
233,20,119.04947673561713
234,20,107.38591216124672
235,20,116.4849440785993
236,20,106.47900304333615
237,20,109.59819389532028
238,20,106.7917341176352
239,20,120.11312666327913
240,20,107.68023968706459
241,20,113.44064905642993
242,20,111.39060311548727
