sample_id,N,m,alpha_true,M_eff_true,M_eff_noisy
0,110,1.0,0.39154416652808294,6.299345046409573,6.002446692824094
1,195,1.0,0.2513337868118405,3.763250004337196,3.6408396128408826
2,119,1.0,0.3530940173806029,5.405840340940202,5.291834914527554
3,299,1.0,0.39378278479051276,9.437928758156062,9.48521136959553
4,309,1.0,0.26990620012145644,4.699538714493607,4.625442016096489
5,476,1.0,0.3627505098191975,9.360591377690486,9.713237699624312
6,189,1.0,0.23658464540194743,3.4560173073553884,3.6599623323918835
7,369,1.0,0.37278379684260926,9.056196461810053,8.825025857551301
8,408,1.0,0.38816839841424305,10.312780502451242,10.216984744566872
9,119,1.0,0.43001769677388363,7.8076785356025615,7.652744180382305
10,194,1.0,0.30530731194480926,4.994391656785648,5.068646040502653
11,225,1.0,0.1678933119164334,2.4826512317062903,2.625999588549078
12,451,1.0,0.3765166440190187,9.984852281341292,10.948515354315358
13,491,1.0,0.22102795084043036,3.933727100398598,3.908236310034511
14,368,1.0,0.44187381850706653,13.607582415691759,14.072259936791053
15,88,1.0,0.392374790012183,5.793833094921495,5.541460040720926
16,83,1.0,0.34832843993419166,4.660896703321732,4.577201219850788
17,359,1.0,0.38002725615484395,9.354175904258787,9.319551734390204
18,52,1.0,0.2317482595382161,2.4985082525352236,2.701046969709183
19,70,1.0,0.345005578687534,4.33080986158872,4.153588610317063
20,368,1.0,0.24948239823354001,4.36650404995418,4.041233243018618
21,491,1.0,0.4197041283062142,13.472804622443718,13.368708873832977
22,24,1.0,0.38044267209910865,3.350358286433817,3.201726169131236
23,198,1.0,0.3962606189507917,8.129764584627402,8.16868460936133
24,429,1.0,0.30692006278198647,6.426195850847033,6.74057553273627
25,289,1.0,0.33288473425147214,6.59470426083677,6.542810485403431
26,71,1.0,0.326750138507411,4.026233164563661,4.263098898053004
27,177,1.0,0.2959708901120791,4.627374495747195,4.772519554655802
28,9,1.0,0.3365802105026348,2.094976446858765,2.1023456503531475
29,487,1.0,0.4080822107644846,12.49489928889625,13.130371536656568
30,87,1.0,0.2592531276695961,3.1829251982981783,3.3509753655822982
31,74,1.0,0.35123990161473734,4.534702134263645,4.547833213727147
32,439,1.0,0.2925268305679753,5.929140899463925,6.171307323429358
33,99,1.0,0.3585176662116266,5.193623611690541,5.367320590774224
34,398,1.0,0.302567180304338,6.118420061234142,6.102656436083447
35,183,1.0,0.473397475746346,11.777107381188296,11.797730189559832
36,87,1.0,0.34420276540287736,4.651445002150122,4.636128137174914
37,446,1.0,0.39708414948789694,11.272205017805332,9.841522753413305
38,384,1.0,0.27420080375717937,5.112410273458929,4.6614307037822185
39,213,1.0,0.3489190285735297,6.4925596650729975,6.994473355767719
40,141,1.0,0.41507420104264964,7.799834828598488,8.159122529570523
41,17,1.0,0.327193806472964,2.5269419559458757,2.410964633269954
42,411,1.0,0.5170806797182014,22.468139203820932,20.77278712976207
43,188,1.0,0.5302395217138323,16.063803029963594,16.626700270844342
44,129,1.0,0.23317958487822715,3.1056065391660237,3.2724435859633543
45,278,1.0,0.5188743910127999,18.541815490073326,18.76377984535506
46,92,1.0,0.3311620380052225,4.47025172163272,4.278082823362172
47,367,1.0,0.3025355570930812,5.969015085776611,6.19554278327592
48,496,1.0,0.3680935444489024,9.821761958290814,9.859469529637968
49,385,1.0,0.3945015665648121,10.470521383756315,10.042756580460141
50,199,1.0,0.30075503772085327,4.913507730944545,4.733264430017445
51,195,1.0,0.42696923115819513,9.501109368472774,9.570774519073987
52,354,1.0,0.361567788624533,8.349057895929741,8.363795970726787
53,256,1.0,0.38862867050104,8.628019062841055,8.63102046371161
54,399,1.0,0.5304143786056583,23.965882307398918,23.130572845936722
55,371,1.0,0.47607778310745363,16.719444148247405,17.322324252487764
56,398,1.0,0.35358672555858783,8.303938848229178,9.013471895970785
57,152,1.0,0.3896400587038244,7.081637038202923,7.222187759951541
58,47,1.0,0.3460883685206415,3.79047485210697,3.965467754056643
59,139,1.0,0.3103495745964543,4.624701766675951,4.568404568074124
60,444,1.0,0.4513818542903261,15.666812075584648,16.18303955561095
61,218,1.0,0.29570896752845693,4.914762719752446,4.777924253511973
62,235,1.0,0.16945350315643903,2.5222362054678906,2.497615367445355
63,338,1.0,0.4256604709724783,11.925040802545501,11.764808526892178
64,153,1.0,0.34812579429081203,5.761657518932715,5.565047406060777
65,373,1.0,0.30044006476743546,5.92439992803368,5.598233493916893
66,469,1.0,0.37697566173818153,10.161718268066776,10.566508373783405
67,463,1.0,0.4199814727516743,13.167236325395061,13.542106994864954
68,336,1.0,0.3520126411098878,7.750029602601296,6.908377327926181
69,226,1.0,0.44801932897005803,11.341907035007086,12.274212696619582
70,194,1.0,0.3863970507558219,7.655963268984269,7.338420862533047
71,269,1.0,0.3549137037741034,7.283705553283456,7.358753508267093
72,229,1.0,0.3833273167482496,8.027668006069172,7.908318006915479
73,304,1.0,0.4811033762906219,15.650162956588957,15.7224421827102
74,230,1.0,0.28737612859874206,4.77204139525431,4.768127988446625
75,475,1.0,0.44784676951513097,15.803329165138015,15.153303597475867
76,106,1.0,0.432172348778159,7.50379900791957,7.927252493841768
77,296,1.0,0.28347144956593884,5.018115390860223,5.084057265873264
78,283,1.0,0.4115645433905042,10.211002083968069,10.071566648092666
79,367,1.0,0.36717664383521076,8.743503294810209,8.775490394236826
80,410,1.0,0.30258062175431594,6.1741583520000685,6.077371268505914
81,7,1.0,0.2818169880606059,1.7304656553670157,1.8162711688244493
82,316,1.0,0.3642209219660577,8.136513209724663,8.105492266604259
83,296,1.0,0.44033426292981864,12.251645274878006,11.886066312913684
84,382,1.0,0.37105079665040763,9.079808056567522,8.02439326395453
85,242,1.0,0.25890072058235886,4.141632080660091,4.060918856561538
86,98,1.0,0.4137447629567935,6.665908694700923,6.58885845990849
87,456,1.0,0.3716134762885816,9.729872929925126,10.427006781065938
88,221,1.0,0.35240096284783057,6.701408536459204,6.059638070506165
89,254,1.0,0.32198836778963813,5.947418278033421,5.536561380332805
90,313,1.0,0.46875466487590556,14.78420750954991,15.640902371204072
91,329,1.0,0.30988253074647965,6.026081974958192,6.256807221478483
92,29,1.0,0.22190020640902489,2.111088391210757,1.9320960197090151
93,166,1.0,0.16878445545371853,2.3698438695353587,2.2465469235024154
94,445,1.0,0.4250692420302144,13.357844469181797,11.89706397042125
95,130,1.0,0.4274628189397546,8.00999388354907,7.944309649745207
96,448,1.0,0.3436652419602879,8.14989662672921,8.229800505450067
97,381,1.0,0.3690449181007027,8.963492228378032,9.660538039067939
98,243,1.0,0.40181232312643433,9.090044281456759,9.314463486938811
99,226,1.0,0.2886368545710421,4.780600528942995,4.675643345767901
100,187,1.0,0.4034362990473932,8.251698849495774,8.583262234612398
101,419,1.0,0.35167546995796944,8.35926992141777,8.613054743380873
102,202,1.0,0.278613224716513,4.3883512226356896,4.221496657530175
103,281,1.0,0.3677618142835007,7.9531775669671925,8.347209335583784
104,370,1.0,0.3961394096725049,10.407967199655209,10.282645018267054
105,29,1.0,0.3437400293943631,3.181886842657249,2.9606106015669678
106,360,1.0,0.32433365675284315,6.746754972993155,7.426489543093864
107,79,1.0,0.4057539342292081,5.888025171967922,5.648545926658659
108,292,1.0,0.45184438004767935,13.000779308457453,13.17025162004829
109,114,1.0,0.23731131730351926,3.0769950659097667,3.001758985653454
110,480,1.0,0.2940767792115073,6.144559972048805,6.324614141820702
111,389,1.0,0.40398523574593354,11.125035366086045,12.118091840413404
112,372,1.0,0.3715673623278009,9.018407598747594,8.828335135915447
113,424,1.0,0.2701728612274487,5.126759572213567,5.513871698739882
114,197,1.0,0.20337209738171305,2.928400071505617,2.958751475269392
115,393,1.0,0.269406619730007,4.999729717356646,5.026127858654829
116,136,1.0,0.3709210917960145,6.185496724862072,6.148872416453155
117,37,1.0,0.3994847680119872,4.23128912639969,4.237782044734942
118,50,1.0,0.391740122212265,4.62971990340624,4.383573129606924
119,110,1.0,0.22996811308924203,2.947509570267798,3.0585864457494463
120,100,1.0,0.4669945300752138,8.589918832835496,8.489275057057151
121,453,1.0,0.38973522233609326,10.8436383117021,11.235892446025689
122,360,1.0,0.3861080692227256,9.705301308109815,10.087360369726042
123,133,1.0,0.38244396425542526,6.4901426288847395,7.03944795811024
124,125,1.0,0.31118248567488793,4.492847421676261,4.616940212419378
125,187,1.0,0.3797805007205405,7.2912357875218845,6.880394424996332
126,184,1.0,0.37351651687440474,7.013694814789608,6.910737378089886
127,135,1.0,0.39772919069334683,7.03551552392266,7.352333033510417
128,491,1.0,0.14872982309972166,2.5132985129055903,2.387460137501832
129,286,1.0,0.46087861462352897,13.55459589273431,14.745814105943817
130,99,1.0,0.18256630126767615,2.3138528485084153,2.3038018322908167
131,215,1.0,0.3048210427895208,5.140156282594793,5.3457166261717495
132,156,1.0,0.3202292394590473,5.038515769728055,4.962294903326731
133,422,1.0,0.396082651659944,10.960761226513414,10.158217325623575
134,268,1.0,0.3772955169001325,8.243741635155759,8.33627374221181
135,227,1.0,0.3382495534660551,6.265052204211615,6.235337055243688
136,63,1.0,0.3114914611566516,3.634789098718677,3.6700640026496933
137,376,1.0,0.3779839786407584,9.405453645790509,9.590198921941008
138,32,1.0,0.31606859906852613,2.9904093713907356,3.1537807694610316
139,473,1.0,0.4440916521272907,15.41286956835346,14.580268620642011
140,282,1.0,0.29044563697356846,5.148303757591454,4.947913189442408
141,461,1.0,0.39726828293019256,11.434150200604934,10.857981405309598
142,280,1.0,0.2656107414140408,4.466748076523051,4.0111506023666355
143,100,1.0,0.405116758601009,6.460014862920178,6.830173812206238
144,177,1.0,0.44321643346884915,9.916049673326544,9.620788849407685
145,30,1.0,0.4125261991987577,4.067721556538846,3.6372851014496077
146,312,1.0,0.2656315947088147,4.5975478956220135,4.915443151314742
147,219,1.0,0.428522495947929,10.06776230971267,10.059908513444814
148,488,1.0,0.29303216311814084,6.134702064627241,5.726131348316691
149,452,1.0,0.33786073203874034,7.889818546860862,7.764567839057166
150,281,1.0,0.3589051224800478,7.565771865632212,7.939849033385545
151,48,1.0,0.38942516979705843,4.5156227703591805,4.621055360831328
152,42,1.0,0.26249166888710046,2.6674077905415996,2.53972523281369
153,433,1.0,0.372405784212487,9.590546218318028,9.508648344874254
154,257,1.0,0.4165357999021071,10.088426197514147,10.442002237977393
155,239,1.0,0.43897332176787884,11.067594199301423,11.354814484030713
156,332,1.0,0.278947659340253,5.049699879571904,4.910164826294071
157,134,1.0,0.3575151145660327,5.760658304802537,6.113808209339839
158,479,1.0,0.34623120457738876,8.472582248324061,8.639501623490206
159,395,1.0,0.39889932728636707,10.858775007177341,10.751453235125132
160,256,1.0,0.325810942852367,6.090191288368,6.205461219704449
161,196,1.0,0.4923354211507581,13.444939684701207,13.928361450931583
162,277,1.0,0.45936348168225055,13.242988766488534,13.119364214954858
163,73,1.0,0.4688113082141625,7.473892168755635,7.196637977064413
164,324,1.0,0.2874132129461514,5.267005933754202,5.2175787691652316
165,240,1.0,0.4296301145504184,10.534415125559388,10.218529920984725
166,491,1.0,0.28842020803603985,5.972584237954627,5.774611255690622
167,314,1.0,0.4105762283722349,10.596927361960491,10.415992602557331
168,215,1.0,0.1886536536796124,2.7543748071464864,2.6771757071058713
169,115,1.0,0.33206549605205865,4.833777441271438,4.807803725231294
170,145,1.0,0.2991806922230009,4.432406418061871,4.392385510834423
171,322,1.0,0.24277635466681144,4.063012014541507,4.164891249432523
172,387,1.0,0.3189169200740869,6.687515644570688,6.748485462282939
173,469,1.0,0.29026742845735304,5.961485226202348,5.4976156061283294
174,221,1.0,0.3432532696457431,6.378525752476863,6.668093244725557
175,22,1.0,0.3929619821053743,3.3691556676319085,3.320445869964534
176,406,1.0,0.33255278746596906,7.370086815642569,6.593137393864197
177,39,1.0,0.3110233941377306,3.1250596712687275,3.090995620307759
178,73,1.0,0.28997048629799244,3.469833501710575,3.4451350471344835
179,227,1.0,0.44035571263615203,10.901579979339594,11.085051865607554
180,447,1.0,0.3692700181880543,9.520924193367296,9.2018088404043
181,43,1.0,0.43200492037633165,5.077692654298156,5.158928720574537
182,236,1.0,0.3527460352120563,6.871242895787953,7.231492257746463
183,450,1.0,0.32200283687203696,7.1505913015484115,7.24010375416588
184,125,1.0,0.5310556561079741,12.989006159814823,12.999652987560783
185,93,1.0,0.3165939120543144,4.199617313534027,3.9706483269076154
186,313,1.0,0.38270365981351234,9.0168314425928,9.638201634621588
187,210,1.0,0.44050318734241817,10.54253377511527,10.750020137536616
188,67,1.0,0.18865102826821356,2.2105018831604863,2.2523859431799838
189,81,1.0,0.3036319661142941,3.797318792692041,3.6943366408573355
190,424,1.0,0.3113761429210107,6.578078418275344,6.022607204115641
191,115,1.0,0.24002070204716736,3.1232744060644375,3.048907448299382
192,467,1.0,0.5013558745341327,21.791027012979995,19.95846694911375
193,174,1.0,0.3768074759191746,6.986436352479178,6.630926032556248
194,231,1.0,0.38076870594743706,7.943089845447582,8.297849244657698
195,445,1.0,0.4090613239789297,12.115508662785016,11.602976576575774
196,228,1.0,0.3600018523844935,7.0609138501474735,6.954552875566255
197,127,1.0,0.28265633199844575,3.932361568299893,4.289247518894413
198,17,1.0,0.3062033252197421,2.3810447144146725,2.3484738177169144
199,499,1.0,0.32124916982641327,7.358047047468089,7.1302990394031704
200,242,1.0,0.3848582966867595,8.268583593305866,8.584523827714461
201,5,1.0,0.44694783197898,2.0530670266793365,2.1530767043434036
202,145,1.0,0.42636307666941453,8.34694421980906,8.245261378784482
203,471,1.0,0.3882889551991508,10.912003465908894,11.516162536234871
204,354,1.0,0.40072813869431284,10.506482288081425,11.000437849477239
