N,logN,logA_noisy,alpha_true,regime_label
407,6.008813185467165,-4.359743323534685,0.4227105477563953,0
416,6.030685260285302,-4.450550088048498,0.407544765097041,0
205,5.323009979187189,-3.799020211192667,0.3072625986885344,1
361,5.888877958360582,-2.5512737353901263,0.359590110801294,1
160,5.075173815296327,-2.109903041704316,0.3008547565748544,1
217,5.379897353586543,-4.257437548530788,0.361637098108672,1
302,5.710427017407982,-2.45205847168665,0.3678796743168925,1
195,5.272999558615029,-5.429822745824715,0.3056338370488783,1
276,5.620400865753382,-5.545956655202666,0.3179143800757512,1
305,5.720311776640199,-5.561341380229249,0.28922840066484073,1
227,5.424950017525456,-4.995832055696855,0.30824568525000584,1
224,5.411646051899683,-3.9148660170670726,0.24431695401261055,1
263,5.572154032215788,-4.00389788313938,0.42121089743970497,0
436,6.07764224337197,-7.355642218108636,0.36376180977081624,1
291,5.6733232672058564,-3.0534068537849888,0.31292810610115657,1
70,4.248495242192216,-3.2419756020211845,0.3570762561824205,1
379,5.937536205108811,-3.7234244327761163,0.35743513074124483,1
477,6.167516490909305,-1.7773978348259034,0.31824257232346087,1
258,5.5529595849603774,-4.208092484307054,0.3629945430707138,1
324,5.780743515823193,-3.2316508501610217,0.39792323281972586,1
50,3.912023005628146,-3.401864014454354,0.4026525316159332,0
362,5.891644211853396,-5.4594688959292546,0.43164356205193083,0
274,5.613128106424567,-2.103060679528576,0.3928890386865586,1
129,4.859812404439191,-2.716374475624551,0.39225517010330274,1
82,4.406719247386205,-1.9497301625308814,0.3356523081481038,1
178,5.181783550348265,-4.148840310991832,0.34214274423625624,1
349,5.8550719222310805,-4.625871820066091,0.3667138642793919,1
306,5.72358510198506,-7.389032025345415,0.4736116662998202,0
204,5.318119993893236,-9.30460384935399,0.472263532843325,0
391,5.968707560010941,-6.627500032918943,0.3032000945698363,1
359,5.883322388516134,-9.024970748802437,0.41787834346003816,0
345,5.843544417060345,-6.813335357808439,0.34043308301969727,1
315,5.752572638857379,-4.4043687361626045,0.3489551732178757,1
168,5.123963979462783,-3.981040322051298,0.38944111612383936,1
64,4.158883083515922,-1.5578993175423284,0.27650826876651985,1
161,5.081404365046575,-5.844929926223782,0.39639762887194036,1
453,6.115892125505109,-5.951693040676827,0.34543737415952314,1
202,5.3082676974507095,-4.447729096940206,0.3225457271246137,1
