N,logN,logA_noisy,alpha_true
407,6.008813185467165,-4.359743323534685,0.4227105477563953
416,6.030685260285302,-4.450550088048498,0.407544765097041
205,5.323009979187189,-3.799020211192667,0.3072625986885344
361,5.888877958360582,-2.5512737353901263,0.359590110801294
160,5.075173815296327,-2.109903041704316,0.3008547565748544
217,5.379897353586543,-4.257437548530788,0.361637098108672
302,5.710427017407982,-2.45205847168665,0.3678796743168925
195,5.272999558615029,-5.429822745824715,0.3056338370488783
276,5.620400865753382,-5.545956655202666,0.3179143800757512
305,5.720311776640199,-5.561341380229249,0.28922840066484073
227,5.424950017525456,-4.995832055696855,0.30824568525000584
224,5.411646051899683,-3.9148660170670726,0.24431695401261055
263,5.572154032215788,-4.00389788313938,0.42121089743970497
436,6.07764224337197,-7.355642218108636,0.36376180977081624
291,5.6733232672058564,-3.0534068537849888,0.31292810610115657
70,4.248495242192216,-3.2419756020211845,0.3570762561824205
379,5.937536205108811,-3.7234244327761163,0.35743513074124483
477,6.167516490909305,-1.7773978348259034,0.31824257232346087
258,5.5529595849603774,-4.208092484307054,0.3629945430707138
324,5.780743515823193,-3.2316508501610217,0.39792323281972586
50,3.912023005628146,-3.401864014454354,0.4026525316159332
362,5.891644211853396,-5.4594688959292546,0.43164356205193083
274,5.613128106424567,-2.103060679528576,0.3928890386865586
129,4.859812404439191,-2.716374475624551,0.39225517010330274
82,4.406719247386205,-1.9497301625308814,0.3356523081481038
178,5.181783550348265,-4.148840310991832,0.34214274423625624
349,5.8550719222310805,-4.625871820066091,0.3667138642793919
306,5.72358510198506,-7.389032025345415,0.4736116662998202
204,5.318119993893236,-9.30460384935399,0.472263532843325
391,5.968707560010941,-6.627500032918943,0.3032000945698363
359,5.883322388516134,-9.024970748802437,0.41787834346003816
345,5.843544417060345,-6.813335357808439,0.34043308301969727
315,5.752572638857379,-4.4043687361626045,0.3489551732178757
168,5.123963979462783,-3.981040322051298,0.38944111612383936
64,4.158883083515922,-1.5578993175423284,0.27650826876651985
161,5.081404365046575,-5.844929926223782,0.39639762887194036
453,6.115892125505109,-5.951693040676827,0.34543737415952314
202,5.3082676974507095,-4.447729096940206,0.3225457271246137
421,6.042632833706135,-4.160909678492871,0.2986295530581974
199,5.293304824774744,-3.2248965736769133,0.3564922150195208
179,5.187385805896621,-2.4021145570304534,0.33891028532816886
62,4.127134385206382,-4.416735709531623,0.3618130143361688
109,4.691347882320887,-2.5437725171961683,0.19372878297168794
493,6.200509174062974,-4.760807226814457,0.3308948815380059
250,5.521460917902246,-5.832162733208637,0.48148253717353684
15,2.708050201768877,-1.195237054470343,0.3220192904831387
402,5.996452088643896,-5.090862129687063,0.3065314898340564
342,5.8348107370918445,-2.1776657902615835,0.30953495943638737
432,6.068425588267258,-3.6995263037662687,0.2911211822146105
267,5.587248658437702,-4.689648963629993,0.23339299083597254
470,6.152732694725381,-4.773961764653428,0.3965513451753673
409,6.013715156067252,-5.391927481499464,0.29243935022059075
458,6.126869184136019,-5.407198366478515,0.25576534358197045
217,5.379897353586543,-5.177492305644486,0.4971476628116943
212,5.356586274719183,-3.3999716368700983,0.3141162033649997
328,5.793013608414632,-4.138530164356069,0.373907494737714
314,5.7493929859401005,-1.5628423723837925,0.1889889694621128
483,6.180016653673277,-5.965620878345414,0.365851384925357
374,5.92425579744127,-5.769664239663498,0.45102230236080176
333,5.808142490010474,-6.985958776323737,0.3854305013385986
489,6.192362489495322,-5.8979636919126275,0.35937225015876567
15,2.708050201768877,-3.233025757636347,0.26251453128221114
195,5.272999558615029,-3.6138618907381943,0.3198584302758657
112,4.71849887138438,-3.581397152422388,0.2904953758487411
181,5.198497031321074,-5.294309575471351,0.24796832168910177
206,5.327876168838125,-6.30692432267071,0.34592913042814283
78,4.356708826817797,-4.825342857726307,0.44588125964856135
221,5.398162701563002,-1.3303250928641217,0.2134969708993686
324,5.780743515823193,-4.541311788990853,0.35190602457024217
177,5.176149732630327,-3.2778180907882173,0.40366429807799004
34,3.526360524910279,-3.099275839473607,0.30400121395300667
290,5.669880923015002,-6.875110188683735,0.35605167992065384
440,6.086774726935034,-4.040129940488974,0.3542374807721461
32,3.465735903112227,-2.7476677115052484,0.359090777859298
86,4.454347296369787,-1.937521474471557,0.22963492008769915
228,5.4293456289983,-3.5865745848104083,0.41118524754871233
15,2.708050201768877,-2.8600501420905915,0.4123091632797384
405,6.00388706713123,-4.942119128232891,0.29224462878275603
423,6.047372179069919,-6.234251781817233,0.3036807734611877
37,3.610917912914495,-1.9371726917953527,0.2563692933442632
343,5.837730447195095,-3.380690800217299,0.2933541733213359
102,4.6249728133823105,-3.5524258976095666,0.29827618881929086
145,4.97673374248954,-2.5711590604675876,0.3277809617976364
128,4.852030263997742,-2.9949050185164188,0.3308596897623476
122,4.804021044815224,-3.0591916774017207,0.40645764511033217
34,3.526360524910279,-1.7398560331893325,0.39452922224373393
403,5.9989365619714965,-3.799898483849831,0.45671197639475203
250,5.521460917902246,-5.521431373757119,0.36558319982652887
483,6.180016653673277,-5.987223458731352,0.47542014412082567
423,6.047372179069919,-3.4180936177919934,0.39913752718443807
446,6.100318952042485,-4.218174377564278,0.3298321820879487
164,5.099866427885174,-6.294233881223152,0.46114720614223326
34,3.526360524910279,-3.832266959539189,0.4022186852212161
214,5.365976015068581,-4.016608999047511,0.3806520441116255
135,4.905274778512504,-4.9887871686246195,0.3744192650241717
27,3.2958368663746995,-1.054212267402299,0.30180773518377163
365,5.899897353609889,-2.3190761835008407,0.3661381870289382
477,6.167516490909305,-4.653761315489756,0.34848612676693375
129,4.859812404439191,-7.815504025261887,0.47437034471872636
432,6.068425588267258,-2.4456098940278563,0.48350297628529015
269,5.594711379639014,-2.2621585484289906,0.3327930700985317
50,3.912023005628146,-4.770706498828467,0.4469586608391203
405,6.00388706713123,-3.8870589944939815,0.2924498753144699
489,6.192362489495322,-3.263575068009342,0.2623139865883592
285,5.652489180303738,-5.456609976202145,0.40762384396695606
143,4.962844630329838,-2.5925407885828946,0.3293997487228925
252,5.529429087551106,-7.847422715980208,0.3789616824482597
46,3.8286413967064865,-3.1904532405084245,0.3916615497915289
325,5.7838251823605065,-3.33190023013758,0.3996443601730967
371,5.916202062634389,-8.026511684400694,0.383459853536777
216,5.375278407730462,-1.5538281689945925,0.24459473255612296
280,5.634789603204964,-4.445107409367527,0.3539768156633021
416,6.030685260285302,-4.376128021163034,0.356940335657262
400,5.991464547132982,-4.07292055708971,0.24008088222080337
500,6.214608098442191,-4.164404404495372,0.41789020732278825
136,4.912654885809581,-4.005084080095053,0.4328751631511131
483,6.180016653673277,-4.326058290404342,0.2406005179379893
245,5.501258210585544,-4.01337139260174,0.36024570554506447
18,2.89037175845172,-3.1631235307401293,0.43139106146223527
38,3.6375861599895436,-3.614481524679306,0.35407810040596643
446,6.100318952042485,-3.2664012684977752,0.33557842930641696
44,3.784189634145534,-1.7098095179492234,0.3959877092417504
476,6.1654178542524285,-8.007137857615703,0.40678886526927865
341,5.831882477312842,-5.64183213177598,0.3584927152552841
472,6.156978985606742,-2.673118483258606,0.405216712593822
339,5.826000107409949,-6.431788622874571,0.4644246775626568
60,4.094344562388767,-5.234791984224035,0.3209641729512068
431,6.066108090126949,-3.7977877618243876,0.47317252536061455
257,5.54907608493413,-3.385043434887629,0.3017473969323143
84,4.430816798962361,-3.357867818934954,0.2811675128221917
71,4.26267987718216,-4.627178924110482,0.41579642439233255
178,5.181783550348265,-4.600868962144786,0.21511623006983907
439,6.084499413097951,-5.381521438747506,0.3916260769754893
258,5.5529595849603774,-6.118646170618185,0.3554355798223912
47,3.8501476019228247,-4.886835694166124,0.3568788362207114
150,5.010635294162922,-3.803146525231556,0.3878792248235267
201,5.303304908108827,-2.7899403049382494,0.3274265677114289
41,3.71357206694821,-3.3781698146795556,0.3003816281240665
391,5.968707560010941,-1.16565227753933,0.24299546616966602
468,6.148468295939014,-4.943500391722184,0.2662803027605476
43,3.761200115926121,-1.5424891486999392,0.3919942912364373
313,5.7462031905721025,-5.487728963753143,0.40795067284268594
47,3.8501476019228247,-1.7853672201848172,0.2940529504296244
397,5.9839362807123795,-2.173387753962408,0.3528706029855477
261,5.564520407361008,-6.262041857272323,0.3545788364711493
71,4.26267987718216,-2.016975303300902,0.2908521613775587
50,3.912023005628146,-5.286724162423243,0.3526809131671079
418,6.035481432548679,-4.526665322019218,0.21746399080243048
251,5.5254529391716245,-1.932056728861237,0.3869657599491781
58,4.060443010718833,-1.6243774952983663,0.1982568281988826
336,5.817111159992966,-5.574375401119595,0.30932463357898493
151,5.0172798368811495,-6.87307879042153,0.4260430319043589
372,5.918893854300029,-3.4694159621377594,0.3801559711675893
350,5.857933154512031,-2.6650765607946942,0.4072358543434249
419,6.037870919946004,-6.164813350356887,0.44529043478191066
19,2.944438979692756,-1.1654722456564102,0.2948004041832405
347,5.849324779975678,-5.200968001685661,0.37631357116510533
63,4.1431347265502625,-1.6566105120802468,0.2685962478395275
30,3.401197381995489,-1.6654835818309413,0.23789472140094897
302,5.710427017407982,-5.573704817558144,0.4068157442580951
241,5.484796933532149,-7.46601108980278,0.4739162474810699
268,5.59098698054817,-4.165843962348157,0.41878005699281134
62,4.127134385206382,-1.6367344344330552,0.34443378993716867
108,4.6821312272168125,-2.0516871261737957,0.304988158242595
382,5.9454206086327535,-3.579801605861368,0.29935575378318297
109,4.691347882320887,-1.7291554790510169,0.2692171572670115
423,6.047372179069919,-5.130653126182613,0.29675809389830543
234,5.455321115400436,-3.7713153349452697,0.23275726946824069
310,5.73657229751145,-5.359775888890519,0.3184174568904283
497,6.20859002611675,-7.920601518937451,0.39546290548167295
387,5.958424693055622,-3.705053413506692,0.272542592535675
422,6.045005314059709,-10.089496486839353,0.46635799396089994
400,5.991464547132982,-2.682123416134474,0.415225375592777
6,1.7917594708947218,-1.8146457216560161,0.18478955465611804
230,5.438079308966674,-4.5524616101676,0.34589164913637477
320,5.768320995825023,-7.544657727021544,0.3875730527481538
430,6.063785208710864,-3.56676391407685,0.36033759717616265
401,5.993961427331507,-4.779981344850421,0.3934074161944937
241,5.484796933532149,-4.437057074206236,0.3827028205757461
201,5.303304908108827,-6.324926638438537,0.36963853290725657
37,3.610917912914495,-2.433050594975438,0.24925654430151556
70,4.248495242192216,-3.111944015234532,0.3090323506054677
285,5.652489180303738,-7.977803330053076,0.4149680330294768
177,5.176149732630327,-3.8706868857259735,0.3171956563988173
467,6.146329257690311,-5.907583303238753,0.39892836345953664
181,5.198497031321074,-3.004239527308931,0.4538826413631796
337,5.820082930382036,-3.867867455509271,0.40058144726540706
432,6.068425588267258,-4.894473889917045,0.256208031852203
281,5.638354669369333,-4.446963140566837,0.45413295680717736
394,5.9763509093233145,-6.788623137505138,0.40787082228722354
141,4.94875989044909,-4.758901407775257,0.33760552382222786
412,6.021023349373798,-3.6437589729065487,0.2871909005632703
209,5.342334252012658,-2.4566036255152595,0.26357477549072134
72,4.276666119154944,-3.5804641316554426,0.37439515041773114
209,5.342334252012658,-3.7170993548619755,0.35379679624879773
196,5.278114659281537,-4.867621790694403,0.34399728073446767
468,6.148468295939014,-6.713210378381825,0.34250356112515506
494,6.202535517208165,-3.772445872089537,0.29362558016712625
45,3.806662489992542,-5.564574115989277,0.333016488967607
67,4.20469261954022,-4.392992291459578,0.19738125448442256
482,6.177944114071347,-3.0501676531557997,0.3080229221075735
210,5.347107530765088,-1.639607221103471,0.2915101056354559
86,4.454347296369787,-2.837918529111556,0.3166989973464644
381,5.942799375152948,-2.4143691331069044,0.29264559648634514
384,5.950642552613768,-3.49038175527427,0.4804879405417809
190,5.247024072213118,-3.233944063127214,0.36892499013020713
376,5.92958914341649,-3.6619152329271643,0.3412500637165673
92,4.521788577157736,-2.2471061527034135,0.2892065356610535
476,6.1654178542524285,-7.039277579137856,0.38737151024102645
447,6.102558594635941,-4.927499647577572,0.37245845683347334
126,4.836281907030843,-3.661309199524123,0.27860053332386003
211,5.35185813352346,-4.771632379057151,0.3479632218746199
279,5.631211781857208,-4.7173030384098,0.44591772844975835
