sample_id,N,alpha_true,m,V0,E,L,hbar,M_eff_true,M_eff_noisy,logA_clean,logA_noisy,A_noisy
0,56,0.4608616165197967,1.0,0.8704598484663926,0.040004838576768724,0.5789866624081507,1.0,6.392529783172392,5.863846647333692,-1.8865920151268873,-1.8583660255547725,0.15592720339410973
1,362,0.32002378503328216,1.0,0.5763519127733521,0.018364118299952426,1.0374853732274572,1.0,6.589426248330841,6.689518376470084,-2.813410673961289,-2.914729793273611,0.05421867930569775
2,110,0.4311269016352794,1.0,1.280411980436685,0.2513495172642808,1.8581818642075576,1.0,7.587510470119361,7.657354776808816,-7.343003496503576,-7.315723149415998,0.0006650002446485056
3,275,0.3822907640706231,1.0,1.197306082439171,0.10770983841692086,0.9260169268621119,1.0,8.56119441204216,8.103577843598003,-3.999759711696232,-4.059073246475278,0.017265012114248805
4,439,0.34297160093306417,1.0,1.1834787241038986,0.18728610364203058,0.5385539109317208,1.0,8.05916944416069,8.278534479984083,-2.1580474300349834,-2.183549895486051,0.11264095644002751
5,102,0.3643805573567993,1.0,0.6186335548632672,0.2252718765013462,1.4833861957847247,1.0,5.393800138456255,5.046264983729612,-3.0557138330972533,-2.998203661372999,0.04987658317728242
6,90,0.2570799114884026,1.0,1.4637553196075477,0.09449073325147408,0.9864121488540163,1.0,3.179775738316149,3.3872080308150014,-2.9108199580716185,-2.874287112686876,0.05645637219286795
7,195,0.3056338370488783,1.0,1.3433563419919388,0.4991143949955384,1.8909320263913785,1.0,5.010857648848931,5.1803310211671345,-5.5002244372157785,-5.429822745824715,0.004383872793560879
8,342,0.26077820609653146,1.0,0.8783534993450857,0.1282703660512938,1.35738293838199,1.0,4.579507579367562,4.082412303519844,-3.55779954176625,-3.5920957668696842,0.02754055132359934
9,366,0.2889149007685966,1.0,1.2550416447168837,0.30217675407312083,1.3653177962524388,1.0,5.503359499154233,5.498924847704006,-4.421588817437529,-4.354367522383699,0.01285056470896319
10,155,0.35204537459753854,1.0,1.1861026693590935,0.14232640224200077,1.3416667148067236,1.0,5.903317520767536,5.704144254595648,-4.7098971539788765,-4.693118419770255,0.009158082834273783
11,370,0.3546243660326579,1.0,1.4457758966957988,0.5269311194911024,0.7080770962355747,1.0,8.14229640941675,8.014666762281033,-2.73898765129283,-2.6809191847957803,0.0685001609010841
12,279,0.37484045643700764,1.0,1.4126010967559794,0.0951579477969704,1.2751697836335614,1.0,8.25489200235165,9.085443898862051,-5.94709191239112,-5.949178662744493,0.0026079816714922087
13,23,0.47260913625942946,1.0,0.565849589306592,0.16101770480914815,0.5759475731511398,1.0,4.401138304952569,4.6368408416428775,-1.0872209534814747,-1.0750040938832253,0.34129635807069847
14,19,0.25139555729967383,1.0,1.3269283560190863,0.4906223713617466,0.6064189949535963,1.0,2.096394319091901,2.1220474307466333,-1.1355516261149743,-1.0770569052004775,0.34059645966977614
15,121,0.30747631968676525,1.0,1.459017864941996,0.4197975060768509,1.075245584339453,1.0,4.369252871840531,4.307656954696424,-3.2402616357979657,-3.272368491925042,0.03791651567878695
16,232,0.30685862678460063,1.0,0.9655628498418257,0.12264565001277962,0.9655825341156281,1.0,5.3194948738748336,5.0533695419556635,-2.8915589757077615,-2.932905804610842,0.05324210200164915
17,87,0.32040169520294176,1.0,0.6816004546586177,0.004074254498210958,1.69231618047249,1.0,4.182397019579924,4.027050815804353,-4.028767267633744,-4.069243074117519,0.017090319718217943
18,184,0.28890602916120967,1.0,1.29251125528585,0.4847870350760164,0.9476868965926781,1.0,4.511485065196618,4.6256874409015465,-2.5584161535461707,-2.5351179095743452,0.0792523741001042
19,27,0.3442714442086972,1.0,0.5909469552217951,0.09593304702395462,0.8895943187190585,1.0,3.1101237541653584,3.043380098136361,-1.561005863215774,-1.523522098155178,0.2179429172070588
20,359,0.34290934811568774,1.0,0.5045932773747129,0.07349037980674417,0.7638289547054791,1.0,7.519098458904871,7.369089672391895,-1.9448426589587433,-1.9538259132352134,0.14173078328266261
21,263,0.3418000894349104,1.0,1.3716765224532401,0.4210157283616893,0.9902950624782623,1.0,6.716470185673967,6.266283311391608,-3.53885647206674,-3.451880543392579,0.03168599342948738
22,270,0.15800083286591407,1.0,0.8553738952331065,0.23939609878052012,1.0469849734954397,1.0,2.421907207995936,2.4043742963139327,-1.8084925551664375,-1.803753070754228,0.1646796725055251
23,121,0.3841111903454855,1.0,1.2812779518237145,0.20153971132941514,1.0168952854477928,1.0,6.309880985459141,6.308677959696802,-3.7537129358443226,-3.7239232239365547,0.024139078820117905
24,165,0.4101192080924018,1.0,0.7457101613293736,0.19349252790863314,1.9710719454468597,1.0,8.117695547444693,8.442458693800756,-5.901861168556934,-5.848447975782016,0.002884372301642608
25,234,0.3371013019334595,1.0,0.898411844320488,0.1126294270878958,0.8505976907415932,1.0,6.290218768367827,6.39384922617068,-2.674380676166988,-2.6930495010734035,0.06767425168162367
26,356,0.3379777549351479,1.0,1.0175175829969298,0.34684788439042297,0.7635868578095686,1.0,7.283386253784131,8.010506704477143,-2.3866814436268062,-2.30635882916482,0.09962333754229971
27,5,0.22834195206457178,1.0,1.4144527472508135,0.005716931961998639,0.8885475812388359,1.0,1.4441229678733334,1.4428776456613566,-1.792307625374475,-1.7683369796692097,0.1706164917190295
28,400,0.3540474399026598,1.0,1.0736003783648687,0.019150455274433303,1.5458395305729873,1.0,8.341663727380464,8.569379721157452,-6.483637504374921,-6.371812007235563,0.0017090595897896938
29,391,0.40635777393570494,1.0,1.4253922657184432,0.23083765933641417,1.3579217012656761,1.0,11.30709853410217,11.307640870167965,-7.057783284460953,-7.126023253060619,0.0008039099857619335
30,415,0.3665315110126605,1.0,0.8333434806515111,0.2048953508777805,1.3205689467705546,1.0,9.111652007341378,9.266963496270744,-4.468989763688879,-4.367780572007127,0.012679350267654944
31,499,0.3281317843090391,1.0,0.5549883001202113,0.16417144484235988,1.5980573332213852,1.0,7.6794929543277926,8.218601193535893,-3.9152569599653133,-3.9293788456407395,0.01965587809627426
32,398,0.5324878985556607,1.0,0.9783292901676035,0.14301788857756406,0.9009687261969562,1.0,24.232949292007525,24.338107472468735,-5.7326054943931615,-5.716991280785805,0.003289593491064655
33,194,0.34254329691431573,1.0,0.736180265631988,0.08510459146641008,1.5350542899671147,1.0,6.076746888068533,6.156681674731626,-4.318073653243858,-4.2944249097779705,0.0136444162117623
