N,logN,logA,alpha_true
5.0,1.6094379144341004,-1.5504104645797567,0.2
10.0,2.302585093994046,-1.721493920604898,0.2
15.0,2.708050201768877,-1.7441555010916308,0.2
20.0,2.995732274053991,-1.8221645847163297,0.2
25.0,3.2188758252682006,-1.8716275122965156,0.2
30.0,3.401197381995489,-1.794215775956923,0.2
35.0,3.555348061775128,-1.8555864701500584,0.2
40.0,3.6888794543639363,-1.9333436873621106,0.2
45.0,3.806662489992542,-2.07837876662091,0.2
50.0,3.912023005628146,-2.002012019811334,0.2
55.0,4.007333185414289,-1.8678097525210124,0.2
60.0,4.094344562388767,-2.0319982969595047,0.2
65.0,4.1743872700494835,-1.9815415826429095,0.2
70.0,4.248495242192216,-1.9797549962524827,0.2
75.0,4.3174881136696435,-2.055109184243574,0.2
80.0,4.382026634798882,-2.121525611058847,0.2
85.0,4.442651256607963,-2.2138449297819833,0.2
90.0,4.499809670441376,-2.0698633864825497,0.2
95.0,4.553876891705804,-2.1562162865318526,0.2
100.0,4.605170186088091,-2.1175498266574397,0.2
105.0,4.653960350252762,-2.1992482486144347,0.2
110.0,4.700480365883325,-2.159982463443687,0.2
115.0,4.744932128450206,-2.154598425678995,0.2
120.0,4.787491742865379,-2.152051318891483,0.2
125.0,4.828313737382301,-2.2300801004007074,0.2
130.0,4.8675344505325056,-2.123038101607311,0.2
135.0,4.905274778512504,-2.2209822281025713,0.2
140.0,4.941642422680733,-2.282844120375644,0.2
145.0,4.97673374248954,-2.2123023787907266,0.2
150.0,5.010635294162922,-2.2126267065489227,0.2
155.0,5.043425116983763,-2.2135887169495003,0.2
160.0,5.075173815296327,-2.1605761255784475,0.2
165.0,5.105945473961187,-2.2473737765462736,0.2
170.0,5.135798437109085,-2.248216070619678,0.2
175.0,5.164785973980657,-2.303903425301479,0.2
180.0,5.192956850945766,-2.214060372114643,0.2
185.0,5.220355825132379,-2.252059776226624,0.2
190.0,5.247024072213118,-2.288315088644679,0.2
195.0,5.272999558615029,-2.368444550281369,0.2
200.0,5.298317366598036,-2.2067527690443676,0.2
